,doc_url,name,bulletin,topic,commission
612_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/339-7-Iniciativa-Convencional-Constituyente-del-cc-Miguel-Angel-Botto-sobre-Proteccion-de-los-Derechos-de-Autor.pdf,Iniciativa Convencional Constituyente que consagra la libertad de creación artística y otorga protección a los derechos de autor y de interprete,Boletín 339-7,"Derechos de autor, creación artística",Comisión sobre Sistemas de Conocimientos
614_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/337-4-Iniciativa-Convencional-Constituyente-del-cc-Carlos-Calvo-sobre-Derecho-a-la-Participacion-de-la-Primera-Infancia.pdf,Iniciativa Convencional Constituyente sobre el derecho a la participación plena y efectiva de la primera infancia,Boletín 337-4,Derecho a participación primera infancia,Comisión de Derechos Fundamentales
616_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/335-7-Iniciativa-Convencional-Constituyente-de-la-cc-Carolina-Videla-sobre-Reconocimiento-cultural.pdf,Iniciativa Convencional Constituyente que reconoce a la artesanía como patrimonio cultural inmaterial y a sus cultores como tesoros humanos vivos,Boletín 335-7,Patrimonio cultural inmaterial,Comisión sobre Sistemas de Conocimientos
618_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/333-3-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Arancibia-sobre-Autonomia-Territorial-y-Pueblos-Originarios.pdf,Iniciativa Convencional Constituyente sobre autonomías territoriales e indígenas,Boletín 333-3,Autonomías territoriales e Indígenas,Comisión sobre Forma de Estado
620_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/331-4-Iniciativa-Convencional-Constituyente-del-cc-Bernardo-Fontaine-sobre-Derecho-a-la-seguridad.pdf,Iniciativa Convencional Constituyente que consagra y regula el derecho a la seguridad social,Boletín 331-4,Seguridad Social,Comisión de Derechos Fundamentales
611_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/340-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tania-Madriaga-sobre-Derecho-a-la-Vivienda.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la vivienda adecuada y en los territorios adecuados,Boletín 340-4,Derecho a la vivienda,Comisión de Derechos Fundamentales
613_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/338-4-Iniciativa-Convencional-Constituyente-del-cc-Carlos-Calvo-sobre-Derecho-a-la-Educacion-Inicial.pdf,Iniciativa Convencional Constituyente sobre derecho a la educación inicial para la primera infancia,Boletín 338-4,Derecho a la educación primera infancia,Comisión de Derechos Fundamentales
615_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/336-4-Iniciativa-Convencional-Constituyente-de-la-cc-Damaris-Abarca-sobre-Derecho-al-Deporte.pdf,Iniciativa Convencional Constituyente que consagra el derecho al deporte y a la actividad física,Boletín 336-4,Derecho al Deporte,Comisión de Derechos Fundamentales
617_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/334-4-Iniciativa-Convencional-Constituyente-de-la-cc-Ruth-Hurtado-sobre-Seguridad-Interna.pdf,Iniciativa Convencional Constituyente que declara contrarios a la Constitución los grupos violentos de orden delictual,Boletín 334-4,Grupos delictuales,Comisión de Derechos Fundamentales
619_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/332-5-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Tratados-Internacionales.pdf,"Iniciativa Convencional Constituyente que resguarda la soberanía, en materia de tratados de libre comercio y otras materias",Boletín 332-5,Soberanía en tratados de libre comercio,Comisión sobre Medio Ambiente
622_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/329-3-Iniciativa-Convencional-Constituyente-de-la-cc-Tania-Madriaga-sobre-Gobiernos-Locales.pdf,Iniciativa Convencional Constituyente sobre gobiernos locales y democracia plurinacional participativa,Boletín 329-3,Gobiernos locales,Comisión sobre Forma de Estado
624_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/327-7-Iniciativa-Convencional-Constituyente-de-la-cc-Carolina-Videla-sobre-Derecho-a-la-Comunicacion.pdf,Iniciativa Convencional Constituyente que regula la operación y el acceso a medios de comunicación en calidad y conectividad,Boletín 327-7,Operación Medios de Comunicación,Comisión sobre Sistemas de Conocimientos
626_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/325-6-Iniciativa-Convencional-del-cc-Tomas-Laibe-sobre-Jurisdiccion-Constitucional.pdf,Iniciativa Convencional Constituyente que regula la justicia constitucional y las acciones de amparo y protección de derechos fundamentales,Boletín 325-6,Jurisdicción Constitucional,Comisión sobre Sistemas de Justicia
630_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/323-1-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Sepulveda-sobre-Buen-Gobierno.pdf,"Iniciativa Convencional Constituyente que consagra el Buen Gobierno, la probidad y la transparencia de la función pública",Boletín 323-1,"Buen gobierno, probidad y transparencia",Comisión sobre Sistema Político
621_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/330-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tania-Madriaga-sobre-Educacion-Inclusiva.pdf,"Iniciativa Convencional Constituyente que garantiza una educación inclusiva, diversa y democrática",Boletín 330-4,Educación inclusiva,Comisión de Derechos Fundamentales
623_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/328-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tania-Madriaga-sobre-Derecho-a-la-Ciudad.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la ciudad,Boletín 328-4,Derecho a la ciudad,Comisión sobre Derechos Fundamentales 
625_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/326-4-Iniciativa-Convencional-de-la-cc-Pollyana-Rivera-sobre-Proteccion-de-la-Vejez.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la vejez protegida,Boletín 326-4,Derecho a vejez protegida,Comisión de Derechos Fundamentales
629_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/324-6-Iniciativa-Convencional-Constituyente-de-la-cc-Manuela-Royo-sobre-Justicia-Feminista.pdf,Iniciativa Convencional Constituyente que establece un Sistema de Justicia Feminista,Boletín 324-6,Sistema de Justicia Feminista,Comisión sobre Sistemas de Justicia
632_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/321-1-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Sepulveda-sobre-Estatuto-de-Diputados-y-Diputadas.pdf,Iniciativa Convencional Constituyente que establece el estatuto parlamentario,Boletín 321-1,Estatuto parlamentario,Comisión sobre Sistema Político
634_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/319-6-Iniciativa-Convencional-del-cc-Mauricio-Daza-sobre-el-Sistema-Nacional-de-Justicia17-09-hrs.pdf,"Iniciativa Convencional Constituyente que establece la estructura, composición y atribuciones del Sistema Nacional de Justicia",Boletín 319-6,Sistema Nacional de Justicia,Comisión sobre Sistemas de Justicia
636_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/317-6-Iniciativa-Convencional-del-cc-Cristian-Monckeberg-sobre-Derecho-de-Acceso-a-la-Justicia-16-00-hrs.pdf,Iniciativa Convencional Constituyente que regula el acceso a la Justicia,Boletín 317-6,Acceso a la justicia, Comisión sobre Sistemas de Justicia
638_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/315-5-Iniciativa-Convencional-de-la-cc-Isabel-Godoy-sobre-Derechos-de-la-Naturaleza-10-35-hrs.pdf,Iniciativa Convencional Constituyente sobre reconocimiento y protección de los derechos de la naturaleza,Boletín 315-5,Derechos de la naturaleza,Comisión sobre Sistemas de Medio Ambiente
640_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/310-7-Iniciativa-Convencional-de-la-cc-Carolina-Videla-sobre-Derecho-a-la-Comunicacion-2000-hrs.pdf,Iniciativa Convencional Constituyente que regula el ejercicio del derecho a la comunicación en su diversas modalidades y medios,Boletín 310-7,Derecho a la comunicación,Comisión sobre Sistemas de Conocimientos
631_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/322-1-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Sepulveda-sobre-Formacion-de-la-Ley.pdf,Iniciativa Convencional Constituyente que establece materias de ley y regula el proceso legislativo,Boletín 322-1,Materias de ley y proceso legislativo,Comisión sobre Sistema Político
633_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/320-2-Iniciativa-Convencional-de-la-cc-Valentina-Miranda-sobre-Democracia-Participativa-10-07-hrs.pdf,Iniciativa Convencional Constituyente que establece mecanismos de democracia participativa,Boletín 320-2,Democracia Participativa,Comisión sobre Principios Constitucionales
635_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/318-4-Iniciativa-Convencional-del-cc-Cristian-Monckeberg-sobre-Orden-y-Seguridad16-00-hrs.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la seguridad y el orden público,Boletín 318-4,Derecho a la seguridad y orden público,Comisión de Derechos Fundamentales
637_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/316-1-Iniciativa-Convencional-del-cc-Roberto-Vega-sobre-Domicilio-Electoral-13-00-hrs.pdf,Iniciativa Convencional Constituyente que exige domicilio electoral a las autoridades de elección popular y otras que indica,Boletín 316-1,Domicilio electoral autoridades,Comisiión sobre Sistema Político
639_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/314-5-Iniciativa-Convencional-del-cc-Miguel-Angel-Botto-sobre-Proteccion-a-los-Animales.pdf,"Iniciativa Convencional Constituyente que establece el deber estatal de dar protección a los animales, en cuanto seres vivos sintientes",Boletín 314-5,Protección a los animales,Comisión sobre Medio Ambiente
642_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/307-4-Iniciativa-Convencional-de-la-cc-Barbara-Rebolledo-sobre-Derecho-a-la-Salud-1517-hrs.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la salud y su protección,Boletín 307-4,Derecho a la salud,Comisión de Derechos Fundamentales
644_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/304-4-Iniciativa-Convencional-de-la-cc-Valentina-Miranda-sobre-Derechos-Fundamentales-1301-hrs.pdf,Iniciativa Convencional Constituyente que consagra los derechos fundamentales que indica,Boletín 304-4,Derechos Fundamentales,Comisión de Derechos Fundamentales
646_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/302-4-Iniciativa-Convencional-del-cc-Fuad-Chahin-sobre-Derecho-al-trabajo-18-01.-1141-hrs.pdf,"Iniciativa Convencional Constituyente que consagra el derecho al trabajo, la libertad sindical, a la negociación colectiva y a la huelga",Boletín 302-4,"Derecho al trabajo, libertad sindical, negociación colectiva y huelga", Comisión de Derechos Fundamentales
648_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/300-7-Iniciativa-Convencional-del-cc-Francisco-Camano-sobre-Violencia-Digital-2237-hrs.pdf,Iniciativa Convencional Constituyente sobre eliminación de la violencia digital,Boletín 300-7,Violencia digital,Comisión sobre Sistemas de Conocimientos
650_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/298-7-Iniciativa-Convencional-de-la-cc-Carolina-Videla-sobre-Reconocimiento-de-los-Patrimonios-1913-hrs.pdf,Iniciativa Convencional Constituyente que reconoce y protege los patrimonios culturales en sus diversas formas,Boletín 298-7,Patrimonios culturales,Comisión sobre Sistemas de Conocimientos
641_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/308-4-Iniciativa-Convencional-del-cc-Fuad-Chahin-sobre-Cooperativas-1525-hrs.pdf,"Iniciativa Convencional Constituyente que reconoce el rol social, cultural, económico y productivo de las cooperativas /RETIRADA",Boletín 308-4,Cooperativas,Comisión de Derechos Fundamentales
643_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/306-5-Iniciativa-Convencional-de-la-cc-Gloria-Alvarado-sobre-Agua-1324-hrs.pdf,Iniciativa Convencional Constituyente que otorga reconocimiento constitucional a la gestión comunitaria del agua y al saneamiento rural,Boletín 306-5,Gestión comunitaria del agua,Comisión sobre Medio Ambiente
645_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/303-4-Iniciativa-Convencional-del-cc-Cesar-Valenzuela-sobre-Derecho-a-Vivir-en-un-entorno-seguro-1301-hrs.pdf,Iniciativa Convencional Constituyente que consagra el derecho a vivir en entornos seguros y libres de violencia,Boletín 303-4,Derecho a vivir en entorno seguro,Comisión de Derechos Fundamentales
647_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/301-4-Iniciativa-Convencional-de-la-cc-Rocio-Cantuarias-sobre-Derecho-a-una-vejez-protegida-18-01.-958-hrs.pdf,Iniciativa Convencional Constituyente que consagra como derecho fundamental el de acceder a una vejez protegida,Boletín 301-4,Derecho a vejez protegida,Comisiión de Derechos Fundamentales
649_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/299-4-Iniciativa-Convencional-del-cc-Jaime-Bassa-sobre-Derecho-a-la-Resistencia-2231-hrs.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la resistencia,Boletín 299-4,Derecho a la resistencia, Comisión de Derechos Fundamentales
652_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/296-4-Iniciativa-Convencional-del-cc-Manuel-Woldarsky-sobre-Derecho-a-Defender-los-Derechos-Humanos-1931-hrs.pdf,"Iniciativa Convencional Constituyente que consagra como derecho fundamental el de la defensa de los derechos humanos, ambientales y de la naturaleza",Boletín 296-4,"Defensa derechos humanos, ambientales y de la naturaleza", Comisión de Derechos Fundamentales
654_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/294-4-Iniciativa-Convencional-del-Cesar-Valenzuela-sobre-Derechos-Civiles-1704-hrs-REPETIDA.pdf,Iniciativa Convencional Constituyente que consagra los derechos fundamentales que indica,Boletín 294-4,Derechos Fundamentales,Comisión de Derechos Fundamentales
656_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/292-4-Iniciativa-Convencional-de-la-cc-Tatiana-Urrutia-sobre-Derecho-a-la-Autonomia-Personal-1605-hrs.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la autonomía y el libre desarrollo de la personalidad,Boletín 292-4,Derecho a la autonomía, Comisión de Derechos Fundamentales
658_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/290-4-Iniciativa-Convencional-de-la-cc-Tatiana-Urrutia-sobre-Libertad-de-Expresion-1604-hrs.pdf,Iniciativa Convencional Constituyente que asegura libertad de expresión y pluralismo en medios de comunicación social,Boletín 290-4,Libertad de expresión,Comisión de Derechos Fundamentales
660_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/288-4-Iniciativa-Convencional-de-la-cc-Constanza-Hube-sobre-Educacion-1326-hrs.pdf,Iniciativa Convencional Constituyente que garantiza la igualdad ante la ley en materia educacional,Boletín 288-4,Igualdad ante la ley,Comisión de Derechos Fundamentales
651_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/297-4-Iniciativa-Convencional-del-cc-Manuel-Woldarsky-sobre-Prohibicion-de-Incitacion-al-Odio-1913-hrs.pdf,Iniciativa Convencional Constituyente que establece límites a la libertad de expresión,Boletín 297-4,Libertad de expresión, Comisión de Derechos Fundamentales
653_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/295-7-Iniciativa-Convencional-del-cc-Ricardo-Neumann-sobre-Libertad-Creativa-1728-hrs.pdf,Iniciativa Convencional Constituyente que ampara la libertad creativa y su libre elección,Boletín 295-7,Libertad creativa,Comisión sobre Sistemas de Conocimientos
655_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/293-4-Iniciativa-Convencional-de-la-cc-Tatiana-Urrutia-sobre-Derecho-a-Desarrollar-actividades-economicas-1605-hrs.pdf,Iniciativa Convencional Constituyente que consagra la libertad de desarrollar cualquier actividad económica y el derecho de propiedad en todas sus formas y sobre toda clase de bienes,Boletín 293-4,Derecho de propiedad, Comisión de Derechos Fundamentales
